ISBN10,Author,reviews_count,seller_name,Title,categories
62797158,Heather Morris,46174,-OnTimeBooks-,The Tattooist of Auschwitz: A Novel,"[""Books"",""Literature & Fiction"",""Genre Fiction""]"
62803832,Gary John Bishop,16512,YHHWORLDREAD,Unfu*k Yourself: Get Out of Your Head and into Your Life (Unfu*k Yourself series),"[""Books"",""Self-Help"",""Happiness""]"
9.78E+12,Joanna GainesMarah Stets,28122,Amazon,Magnolia Table,"[""Books"",""Cookbooks, Food & Wine"",""Regional & International""]"
62820184,Joanna Gaines,22686,Amazon,"Magnolia Table, Volume 2: A Collection of Recipes for Gathering","[""Books"",""Cookbooks, Food & Wine"",""Regional & International""]"
64400557,E. B. WhiteGarth Williams,17487,HarryBat,Charlotte's Web (Trophy Newbery),"[""Books"",""Literature & Fiction"",""Contemporary""]"
006283486X,Daniel Silva,19584,Momma's Media,"The Cellist: A Novel (Gabriel Allon, 21)","[""Books"",""Literature & Fiction"",""Action & Adventure""]"
006440188X,Frances Hodgson Burnett,10041,Amazon,The Secret Garden (HarperClassics),"[""Books"",""Children's Books"",""Literature & Fiction""]"
62841742,Hoda KotbSuzie Mason,19794,Jenson Books Inc,I've Loved You Since Forever,"[""Books"",""Children's Books"",""Growing Up & Facts of Life""]"
62841750,Hoda KotbSuzie Mason,19794,saveherenow,I've Loved You Since Forever Board Book,"[""Books"",""Children's Books"",""Growing Up & Facts of Life""]"
9.78E+12,Jane Austen,24978,Vivé Liber Books LLC,Pride and Prejudice,"[""Books"",""Literature & Fiction"",""Classics""]"
141439556,Emily Brontë,13451,SpotlightBooks,Wuthering Heights (Penguin Classics),"[""Books"",""Literature & Fiction"",""Genre Fiction""]"
141439572,Oscar Wilde,10147,Jenson Books Inc,The Picture of Dorian Gray,"[""Books"",""LGBTQ+ Books"",""Literature & Fiction""]"
64431789,Maurice Sendak,27536,Amazon,Where the Wild Things Are,"[""Books"",""Children's Books"",""Animals""]"
62297198,Darin Olien,10050,Jenson Books Inc,"SuperLife: The 5 Simple Fixes That Will Make You Healthy, Fit, and Eternally Awesome","[""Books"",""Health, Fitness & Dieting"",""Diets & Weight Loss""]"
9.78E+12,Timothy Ferriss,15420,TIP TOP STORETIP TOP STOREDesert Pueblo Books,"The 4-Hour Work Week: Escape the 9-5, Live Anywhere and Join the New Rich","[""Books"",""Business & Money"",""Business Culture""]"
9.78E+12,J. D. Vance,27096,Books and Books Etc.,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,"[""Books"",""Biographies & Memoirs"",""Historical""]"
9.78E+12,J. D. Vance,27096,Jenson Books Inc,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,"[""Books"",""History"",""Americas""]"
9.78E+12,Ashlee Vance,13319,Vivé Liber Books LLC,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future","[""Books"",""Engineering & Transportation"",""Engineering""]"
006230125X,Ashlee Vance,13319,VMG Books & Media,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future","[""Books"",""Engineering & Transportation"",""Engineering""]"
9.78E+12,Garth Stein,14886,MediaFlow,The Art of Racing in the Rain,"[""Books"",""Literature & Fiction"",""Genre Fiction""]"
9.78E+12,Garth Stein,14886,R&K Accounting,The Art of Racing in the Rain: A Novel,"[""Books"",""Literature & Fiction"",""Genre Fiction""]"
9.78E+12,Matthew Walker,14807,Amazon,Why We Sleep,"[""Books"",""Health, Fitness & Dieting"",""Psychology & Counseling""]"
